Name,NACA 63A010 AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.021000
95.000000,0.525000
90.000000,1.030000
85.000000,1.535000
80.000000,2.040000
75.000000,2.545000
70.000000,3.044000
65.000000,3.517000
60.000000,3.943000
55.000000,4.311000
50.000000,4.613000
45.000000,4.837000
40.000000,4.968000
35.000000,4.995000
30.000000,4.913000
25.000000,4.714000
20.000000,4.400000
15.000000,3.950000
10.000000,3.324000
7.500000,2.917000
5.000000,2.412000
2.500000,1.737000
1.250000,1.250000
0.750000,0.983000
0.500000,0.816000
0.000000,0.000000
0.500000,-0.816000
0.750000,-0.983000
1.250000,-1.250000
2.500000,-1.737000
5.000000,-2.412000
7.500000,-2.917000
10.000000,-3.324000
15.000000,-3.950000
20.000000,-4.400000
25.000000,-4.714000
30.000000,-4.913000
35.000000,-4.995000
40.000000,-4.968000
45.000000,-4.837000
50.000000,-4.613000
55.000000,-4.311000
60.000000,-3.943000
65.000000,-3.517000
70.000000,-3.044000
75.000000,-2.545000
80.000000,-2.040000
85.000000,-1.535000
90.000000,-1.030000
95.000000,-0.525000
100.000000,-0.021000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.500000,0.000000
0.750000,0.000000
1.250000,0.000000
2.500000,0.000000
5.000000,0.000000
7.500000,0.000000
10.000000,0.000000
15.000000,0.000000
20.000000,0.000000
25.000000,0.000000
30.000000,0.000000
35.000000,0.000000
40.000000,0.000000
45.000000,0.000000
50.000000,0.000000
55.000000,0.000000
60.000000,0.000000
65.000000,0.000000
70.000000,0.000000
75.000000,0.000000
80.000000,0.000000
85.000000,0.000000
90.000000,0.000000
95.000000,0.000000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
